Source: Offline Video - long.mp4
Date & Time: 2026-07-13 18:07:59
==========================================================================================
Frame: 0112 | Phase: None            | Hip: None            | Times(ms) -> MP: 22.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0113 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0114 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0115 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0116 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0117 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0118 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0119 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0120 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0121 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0122 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0123 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0124 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0125 | Phase: None            | Hip: None            | Times(ms) -> MP: 25.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0126 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0127 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0128 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.6, Feat: 00.0, Predict: 00.0, States: 00.0
