Source: Live Camera
Date & Time: 2026-07-21 09:24:04
==========================================================================================
Frame: 0320 | Processed: Yes  | TS(ms): 1784625761329 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:1.2) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.564, ankle_x: 0.597] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 73.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0321 | Processed: Yes  | TS(ms): 1784625761406 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.548, ankle_x: 0.592] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 72.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0322 | Processed: Yes  | TS(ms): 1784625761483 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:0.9) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.554, ankle_x: 0.589] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 71.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0323 | Processed: Yes  | TS(ms): 1784625761561 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:0.9) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.555, ankle_x: 0.568] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 72.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0324 | Processed: Yes  | TS(ms): 1784625761638 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:0.8) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.569, ankle_x: 0.599] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 70.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0325 | Processed: Yes  | TS(ms): 1784625761713 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.0, dy:0.8) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.561, ankle_x: 0.603] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 75.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0326 | Processed: Yes  | TS(ms): 1784625761795 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:0.9) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.550, ankle_x: 0.604] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 77.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0327 | Processed: Yes  | TS(ms): 1784625761878 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:0.9) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.540, ankle_x: 0.607] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.8, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0328 | Processed: Yes  | TS(ms): 1784625761951 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:0.8) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.517, ankle_x: 0.607] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0329 | Processed: Yes  | TS(ms): 1784625762023 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:0.8) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.495, ankle_x: 0.606] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0330 | Processed: Yes  | TS(ms): 1784625762096 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:0.8) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.474, ankle_x: 0.608] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.4, Feat: 00.2, Predict: 00.0, States: 00.0
