Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 08:31:05
==========================================================================================
Frame: 0054 | Processed: Yes  | TS(ms): 1784622641307 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 87.1, Feat: 00.3, Predict: 03.2, States: 00.0
Frame: 0056 | Processed: Yes  | TS(ms): 1784622641373 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 91.1, Feat: 00.4, Predict: 03.6, States: 00.0
Frame: 0058 | Processed: Yes  | TS(ms): 1784622641439 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 94.6, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0060 | Processed: Yes  | TS(ms): 1784622641505 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 90.0, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0062 | Processed: Yes  | TS(ms): 1784622641571 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 93.6, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0064 | Processed: Yes  | TS(ms): 1784622641637 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 89.9, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0066 | Processed: Yes  | TS(ms): 1784622641703 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 87.8, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0068 | Processed: Yes  | TS(ms): 1784622641769 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 76.8, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0070 | Processed: Yes  | TS(ms): 1784622641835 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 75.6, Feat: 00.3, Predict: 03.0, States: 00.0
Frame: 0072 | Processed: Yes  | TS(ms): 1784622641901 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 68.5, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0074 | Processed: Yes  | TS(ms): 1784622641967 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 73.3, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0076 | Processed: Yes  | TS(ms): 1784622642033 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 74.0, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0078 | Processed: Yes  | TS(ms): 1784622642099 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 73.3, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0080 | Processed: Yes  | TS(ms): 1784622642165 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0082 | Processed: Yes  | TS(ms): 1784622642231 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 69.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0084 | Processed: Yes  | TS(ms): 1784622642297 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 75.4, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0086 | Processed: Yes  | TS(ms): 1784622642363 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 72.3, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0088 | Processed: Yes  | TS(ms): 1784622642429 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 72.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0090 | Processed: Yes  | TS(ms): 1784622642495 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 02.7, States: 00.1
Frame: 0092 | Processed: Yes  | TS(ms): 1784622642561 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 68.1, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0094 | Processed: Yes  | TS(ms): 1784622642627 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 65.7, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0096 | Processed: Yes  | TS(ms): 1784622642693 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: High            | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 66.8, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0098 | Processed: Yes  | TS(ms): 1784622642759 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: High            | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 86.4, Feat: 00.4, Predict: 04.1, States: 00.0
Frame: 0100 | Processed: Yes  | TS(ms): 1784622642825 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: False] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 91.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0102 | Processed: Yes  | TS(ms): 1784622642891 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 78.3, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0104 | Processed: Yes  | TS(ms): 1784622642957 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.4, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0106 | Processed: Yes  | TS(ms): 1784622643023 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 69.9, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0108 | Processed: Yes  | TS(ms): 1784622643089 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0110 | Processed: Yes  | TS(ms): 1784622643155 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 68.2, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0112 | Processed: Yes  | TS(ms): 1784622643221 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 66.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0114 | Processed: Yes  | TS(ms): 1784622643287 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 72.4, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0116 | Processed: Yes  | TS(ms): 1784622643353 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 67.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0118 | Processed: Yes  | TS(ms): 1784622643419 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 66.3, Feat: 00.2, Predict: 02.6, States: 00.0
