Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 17:07:35
==========================================================================================
Frame: 0120 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 87.5, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0121 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 85.6, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0122 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.6, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0123 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 86.7, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0124 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.5, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0125 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 82.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0126 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.0, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0127 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 79.3, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0128 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.3, Feat: 00.2, Predict: 04.9, States: 00.0
Frame: 0129 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.6, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0130 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.8, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0131 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.9, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0132 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 81.3, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0133 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 78.3, Feat: 00.3, Predict: 02.8, States: 00.0
Frame: 0134 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.0, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0135 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.5, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0136 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.4, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0137 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.5, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0138 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.6, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0139 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0140 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.5, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0141 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0142 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.5, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0143 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.0, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0144 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.8, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0145 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.5, Feat: 00.2, Predict: 02.8, States: 00.1
Frame: 0146 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.9, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0147 | Phase: High            | Hip: Good            | Times(ms) -> MP: 85.8, Feat: 00.3, Predict: 04.3, States: 00.0
