Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 09:13:31
==========================================================================================
Frame: 0080 | Processed: Yes  | TS(ms): 1784625187727 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 68.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0082 | Processed: Yes  | TS(ms): 1784625187793 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 71.8, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0084 | Processed: Yes  | TS(ms): 1784625187859 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 74.4, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0086 | Processed: Yes  | TS(ms): 1784625187925 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 67.2, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0088 | Processed: Yes  | TS(ms): 1784625187991 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 69.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0090 | Processed: Yes  | TS(ms): 1784625188057 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 71.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0092 | Processed: Yes  | TS(ms): 1784625188123 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 75.4, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0094 | Processed: Yes  | TS(ms): 1784625188189 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0096 | Processed: Yes  | TS(ms): 1784625188255 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 69.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0098 | Processed: Yes  | TS(ms): 1784625188321 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 69.8, Feat: 00.2, Predict: 02.6, States: 00.0
